Level1,Level2,Edge,Difference,CI_low,CI_high,p,Area
CU,RW,Mesocarnivore -> Megacarnivore,-0.7344345798678064,-0.9723848262720032,-0.4964843334636095,4.4371084512461546e-13,Protected areas
CU,RW,Mesoherbivore -> Megacarnivore,-0.7353980919388144,-0.9622762631999029,-0.508519920677726,2.551996337517725e-14,Protected areas
CU,RW,Mesoherbivore -> Mesocarnivore,-0.1938540936305005,-0.43717913724987384,0.04947094998887286,0.169462917542206,Protected areas
CU,RW,Microcarnivore -> Megacarnivore,-0.8361073382897377,-1.0058042609909863,-0.6664104155884892,1.2383579065206346e-31,Protected areas
CU,RW,Microcarnivore -> Mesocarnivore,-0.2725345702761155,-0.41769829593714347,-0.12737084461508755,2.0917446227641267e-5,Protected areas
CU,RW,Microherbivore -> Megacarnivore,-0.7441639971389065,-0.8978098018472496,-0.5905181924305634,1.3115466166104909e-30,Protected areas
CU,RW,Microherbivore -> Mesocarnivore,-0.13967776911500224,-0.273841023528656,-0.0055145147013484774,0.038067103341400135,Protected areas
CU,RW,Microherbivore -> Microcarnivore,-0.06434309364158486,-0.19095625730341226,0.06227007002024254,0.6712829339301589,Protected areas
PN,CU,Mesocarnivore -> Megacarnivore,1.2960910905933314,1.0674588949890738,1.524723286197589,1.7799940749991738e-41,Protected areas
PN,CU,Mesoherbivore -> Megacarnivore,1.9240877694194856,1.7128734478746341,2.1353020909643368,5.804861170305578e-105,Protected areas
PN,CU,Mesoherbivore -> Mesocarnivore,0.9300647956247992,0.7034885152533128,1.1566410759962855,2.5853975925672573e-22,Protected areas
PN,CU,Microcarnivore -> Megacarnivore,1.4533433414261587,1.285901784784849,1.6207848980674684,2.009589746072907e-95,Protected areas
PN,CU,Microcarnivore -> Mesocarnivore,0.4086686396060538,0.2643965712860925,0.5529407079260151,3.5743000271266616e-11,Protected areas
PN,CU,Microherbivore -> Megacarnivore,1.309375514722718,1.1573665758643965,1.4613844535810394,5.304801928921579e-94,Protected areas
PN,CU,Microherbivore -> Mesocarnivore,0.2607929422659352,0.12695707696317135,0.394628807568699,9.262305352580288e-6,Protected areas
PN,CU,Microherbivore -> Microcarnivore,0.0812750029764322,-0.0453607155363768,0.2079107214892412,0.37327680691432497,Protected areas
PN,RW,Mesocarnivore -> Megacarnivore,0.561656510725525,0.3586854904414888,0.7646275310095613,1.0448298271200373e-10,Protected areas
PN,RW,Mesoherbivore -> Megacarnivore,1.1886896774806712,1.0028198426248223,1.3745595123365202,1.9617339755643762e-52,Protected areas
PN,RW,Mesoherbivore -> Mesocarnivore,0.7362107019942987,0.5159735136813977,0.9564478903071998,3.654113237889088e-15,Protected areas
PN,RW,Microcarnivore -> Megacarnivore,0.6172360031364211,0.46104161337106464,0.7734303929017776,9.209156828225875e-21,Protected areas
PN,RW,Microcarnivore -> Mesocarnivore,0.13613406932993832,-0.006444894023165337,0.278713032683042,0.06680377485439447,Protected areas
PN,RW,Microherbivore -> Megacarnivore,0.5652115175838114,0.41985540647761227,0.7105676286900104,3.8750289688638316e-20,Protected areas
PN,RW,Microherbivore -> Mesocarnivore,0.12111517315093295,-0.012198519224767834,0.25442886552663374,0.08890721886475429,Protected areas
PN,RW,Microherbivore -> Microcarnivore,0.01693190933484734,-0.10961626203828176,0.14348008070797644,1,Protected areas
CU,RW,Mesocarnivore -> Megacarnivore,-1.7003415630962913,-2.0043896392728486,-1.3962934869197337,2.1332242626932473e-40,Random areas
CU,RW,Mesoherbivore -> Megacarnivore,-1.5978410969863261,-1.8828091231385722,-1.3128730708340801,1.3255593145183135e-40,Random areas
CU,RW,Mesoherbivore -> Mesocarnivore,-0.7164824798694382,-1.0172193009592718,-0.41574565877960473,3.5217023954869275e-8,Random areas
CU,RW,Microcarnivore -> Megacarnivore,-1.4165485197822298,-1.612190074101728,-1.2209069654627316,7.860097643417104e-67,Random areas
CU,RW,Microcarnivore -> Mesocarnivore,-0.7991572075496658,-0.9649463663771735,-0.6333680487221581,2.494863350342209e-30,Random areas
CU,RW,Microherbivore -> Megacarnivore,-1.3987946388841386,-1.5813519575003068,-1.2162373202679704,1.1222602168558845e-74,Random areas
CU,RW,Microherbivore -> Mesocarnivore,-0.5538149730703297,-0.7099510112971089,-0.39767893484355044,6.122074186826159e-17,Random areas
CU,RW,Microherbivore -> Microcarnivore,-0.1175231279132023,-0.2611633684083205,0.026117112581915902,0.15044414579212217,Random areas
PN,CU,Mesocarnivore -> Megacarnivore,2.2633494606588336,1.9664451936564065,2.560253727661261,6.241809199747866e-74,Random areas
PN,CU,Mesoherbivore -> Megacarnivore,2.674879677140469,2.401026104156347,2.9487332501245906,1.8949162239032702e-120,Random areas
PN,CU,Mesoherbivore -> Mesocarnivore,1.343034593508762,1.0571595277235473,1.6289096592939767,7.19928022950198e-29,Random areas
PN,CU,Microcarnivore -> Megacarnivore,2.0471586197482905,1.8537494384708426,2.240567801025738,3.535801539407332e-141,Random areas
PN,CU,Microcarnivore -> Mesocarnivore,0.8870561897066702,0.7216926823999031,1.0524196970134374,2.86214167911609e-37,Random areas
PN,CU,Microherbivore -> Megacarnivore,1.9893389201498615,1.8083386367281369,2.170339203571586,4.219733525633919e-152,Random areas
PN,CU,Microherbivore -> Mesocarnivore,0.6420823078559226,0.48609682485184724,0.7980677908599979,1.9696368856752821e-22,Random areas
PN,CU,Microherbivore -> Microcarnivore,0.1430231364944463,-6.446215353272389e-4,0.28669089452421986,0.0514832477967547,Random areas
PN,RW,Mesocarnivore -> Megacarnivore,0.5630078975625422,0.35271507494868637,0.7733007201763981,4.3857132230492777e-10,Random areas
PN,RW,Mesoherbivore -> Megacarnivore,1.0770385801541429,0.8791245100997516,1.2749526502085342,2.5467217280796996e-38,Random areas
PN,RW,Mesoherbivore -> Mesocarnivore,0.6265521136393237,0.3735169649077728,0.8795872623708747,9.20808852143772e-9,Random areas
PN,RW,Microcarnivore -> Megacarnivore,0.6306100999660605,0.4595244529269196,0.8016957470052015,3.3118670089682176e-18,Random areas
PN,RW,Microcarnivore -> Mesocarnivore,0.08789898215700437,-0.07149658692387056,0.2472945512378793,0.5603402047789237,Random areas
PN,RW,Microherbivore -> Megacarnivore,0.590544281265723,0.42640830786213557,0.7546802546693104,2.1297575540507864e-17,Random areas
PN,RW,Microherbivore -> Mesocarnivore,0.08826733478559284,-0.06563241007636325,0.24216707964754894,0.5092214884146277,Random areas
PN,RW,Microherbivore -> Microcarnivore,0.025500008581244016,-0.1180155185267347,0.16901553568922273,1,Random areas
